"","name","year","Gener","Certification","rating","vote","gross","synopsis","Director_Star"
"51","Avengers: Infinity War","(2018)","
Action, Adventure, Sci-Fi            ","UA","8.4","1,033,934","$678.82M","
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans
    "
"52","Star Wars: Episode VI - Return of the Jedi","(1983)","
Action, Adventure, Fantasy            ","U","8.3","1,032,401","$309.13M","
After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","
    Director:
Richard Marquand
                 | 
    Stars:
Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams
    "
"53","Finding Nemo","(2003)","
Animation, Adventure, Comedy            ","U","8.2","1,025,261","$380.84M","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","
    Directors:
Andrew Stanton, 
Lee Unkrich
                 | 
    Stars:
Albert Brooks, 
Ellen DeGeneres, 
Alexander Gould, 
Willem Dafoe
    "
"54","Braveheart","(1995)","
Biography, Drama, History            ","A","8.4","1,022,878","$75.60M","
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.","
    Director:
Mel Gibson
                 | 
    Stars:
Mel Gibson, 
Sophie Marceau, 
Patrick McGoohan, 
Angus Macfadyen
    "
"55","Up","(2009)","
Animation, Adventure, Comedy            ","U","8.3","1,022,818","$293.00M","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","
    Directors:
Pete Docter, 
Bob Peterson
                 | 
    Stars:
Edward Asner, 
Jordan Nagai, 
John Ratzenberger, 
Christopher Plummer
    "
"56","Deadpool","(2016)","
Action, Adventure, Comedy            ","R","8.0","1,007,948","$363.07M","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","
    Director:
Tim Miller
                 | 
    Stars:
Ryan Reynolds, 
Morena Baccarin, 
T.J. Miller, 
Ed Skrein
    "
"57","Reservoir Dogs","(1992)","
Crime, Drama, Thriller            ","15+","8.3","997,797","$2.83M","
When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","
    Director:
Quentin Tarantino
                 | 
    Stars:
Harvey Keitel, 
Tim Roth, 
Michael Madsen, 
Chris Penn
    "
"58","The Shining","(1980)","
Drama, Horror            ","A","8.4","994,411","$44.02M","
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","
    Director:
Stanley Kubrick
                 | 
    Stars:
Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers
    "
"59","One Flew Over the Cuckoo's Nest","(1975)","
Drama            ","A","8.7","989,948","$112.00M","
A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","
    Director:
Milos Forman
                 | 
    Stars:
Jack Nicholson, 
Louise Fletcher, 
Michael Berryman, 
Peter Brocco
    "
"60","Eternal Sunshine of the Spotless Mind","(2004)","
Drama, Romance, Sci-Fi            ","UA","8.3","988,255","$34.40M","
When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","
    Director:
Michel Gondry
                 | 
    Stars:
Jim Carrey, 
Kate Winslet, 
Tom Wilkinson, 
Gerry Robert Byrne
    "
"61","Mad Max: Fury Road","(2015)","
Action, Adventure, Sci-Fi            ","UA","8.1","978,301","$154.06M","
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","
    Director:
George Miller
                 | 
    Stars:
Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz
    "
"62","The Sixth Sense","(1999)","
Drama, Mystery, Thriller            ","A","8.2","975,587","$293.51M","
A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","
    Director:
M. Night Shyamalan
                 | 
    Stars:
Bruce Willis, 
Haley Joel Osment, 
Toni Collette, 
Olivia Williams
    "
"63","Toy Story","(1995)","
Animation, Adventure, Comedy            ","U","8.3","973,316","$191.80M","
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.","
    Director:
John Lasseter
                 | 
    Stars:
Tom Hanks, 
Tim Allen, 
Don Rickles, 
Jim Varney
    "
"64","Jurassic Park","(1993)","
Action, Adventure, Sci-Fi            ","UA","8.2","965,498","$402.45M","
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
                 | 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
    "
"65","Gone Girl","(2014)","
Drama, Mystery, Thriller            ","A","8.1","960,349","$167.77M","
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
    Director:
David Fincher
                 | 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
    "
"66","Catch Me If You Can","(2002)","
Biography, Crime, Drama            ","A","8.1","950,526","$164.62M","
Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","
    Director:
Steven Spielberg
                 | 
    Stars:
Leonardo DiCaprio, 
Tom Hanks, 
Christopher Walken, 
Martin Sheen
    "
"67","No Country for Old Men","(2007)","
Crime, Drama, Thriller            ","18","8.2","949,891","$74.28M","
Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.","
    Directors:
Ethan Coen, 
Joel Coen
                 | 
    Stars:
Tommy Lee Jones, 
Javier Bardem, 
Josh Brolin, 
Woody Harrelson
    "
"68","Raiders of the Lost Ark","(1981)","
Action, Adventure            ","A","8.4","949,729","$248.16M","
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","
    Director:
Steven Spielberg
                 | 
    Stars:
Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies
    "
"69","Good Will Hunting","(1997)","
Drama, Romance            ","U","8.3","945,702","$138.43M","
Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","
    Director:
Gus Van Sant
                 | 
    Stars:
Robin Williams, 
Matt Damon, 
Ben Affleck, 
Stellan Skarsgård
    "
"70","A Beautiful Mind","(2001)","
Biography, Drama            ","UA","8.2","917,273","$170.74M","
After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","
    Director:
Ron Howard
                 | 
    Stars:
Russell Crowe, 
Ed Harris, 
Jennifer Connelly, 
Christopher Plummer
    "
"71","Star Wars: Episode VII - The Force Awakens","(2015)","
Action, Adventure, Sci-Fi            ","U","7.8","916,545","$936.66M","
As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","
    Director:
J.J. Abrams
                 | 
    Stars:
Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Domhnall Gleeson
    "
"72","The Hunger Games","(2012)","
Action, Adventure, Sci-Fi            ","UA","7.2","903,854","$408.01M","
Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.","
    Director:
Gary Ross
                 | 
    Stars:
Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci
    "
"73","Monsters, Inc.","(2001)","
Animation, Adventure, Comedy            ","U","8.1","891,326","$289.92M","
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","
    Directors:
Pete Docter, 
David Silverman, 
Lee Unkrich
                 | 
    Stars:
Billy Crystal, 
John Goodman, 
Mary Gibbs, 
Steve Buscemi
    "
"74","Die Hard","(1988)","
Action, Thriller            ","A","8.2","862,499","$83.01M","
An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.","
    Director:
John McTiernan
                 | 
    Stars:
Bruce Willis, 
Alan Rickman, 
Bonnie Bedelia, 
Reginald VelJohnson
    "
"75","Alien","(1979)","
Horror, Sci-Fi            ","R","8.5","861,239","$78.90M","
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.","
    Director:
Ridley Scott
                 | 
    Stars:
Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright
    "
"76","Harry Potter and the Deathly Hallows: Part 2","(2011)","
Adventure, Fantasy, Mystery            ","UA","8.1","854,718","$381.01M","
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","
    Director:
David Yates
                 | 
    Stars:
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon
    "
"77","The Terminator","(1984)","
Action, Sci-Fi            ","UA","8.1","848,941","$38.40M","
A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","
    Director:
James Cameron
                 | 
    Stars:
Arnold Schwarzenegger, 
Linda Hamilton, 
Michael Biehn, 
Paul Winfield
    "
"78","Avengers: Age of Ultron","(2015)","
Action, Adventure, Sci-Fi            ","UA","7.3","842,489","$459.01M","
When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","
    Director:
Joss Whedon
                 | 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
    "
"79","Snatch","(2000)","
Comedy, Crime            ","UA","8.3","841,888","$30.33M","
Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","
    Director:
Guy Ritchie
                 | 
    Stars:
Jason Statham, 
Brad Pitt, 
Stephen Graham, 
Vinnie Jones
    "
"80","The Intouchables","(2011)","
Biography, Comedy, Drama            ","UA","8.5","838,674","$13.18M","
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","
    Directors:
Olivier Nakache, 
Éric Toledano
                 | 
    Stars:
François Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot
    "
"81","Slumdog Millionaire","(2008)","
Crime, Drama, Romance            ","UA","8.0","837,130","$141.32M","
A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","
    Directors:
Danny Boyle, 
Loveleen Tandan
                 | 
    Stars:
Dev Patel, 
Freida Pinto, 
Saurabh Shukla, 
Anil Kapoor
    "
"82","The Martian","(2015)","
Adventure, Drama, Sci-Fi            ","UA","8.0","835,369","$228.43M","
An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","
    Director:
Ridley Scott
                 | 
    Stars:
Matt Damon, 
Jessica Chastain, 
Kristen Wiig, 
Kate Mara
    "
"83","Iron Man Three","(2013)","
Action, Adventure, Sci-Fi            ","UA","7.1","833,105","$409.01M","
When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","
    Director:
Shane Black
                 | 
    Stars:
Robert Downey Jr., 
Guy Pearce, 
Gwyneth Paltrow, 
Don Cheadle
    "
"84","Thor","(2011)","
Action, Adventure, Fantasy            ","UA","7.0","828,477","$181.03M","
The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","
    Director:
Kenneth Branagh
                 | 
    Stars:
Chris Hemsworth, 
Anthony Hopkins, 
Natalie Portman, 
Tom Hiddleston
    "
"85","Captain America: The First Avenger","(2011)","
Action, Adventure, Sci-Fi            ","13","6.9","827,713","$176.65M","
Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.","
    Director:
Joe Johnston
                 | 
    Stars:
Chris Evans, 
Hugo Weaving, 
Samuel L. Jackson, 
Hayley Atwell
    "
"86","Requiem for a Dream","(2000)","
Drama            ","A","8.3","827,079","$3.64M","
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.","
    Director:
Darren Aronofsky
                 | 
    Stars:
Ellen Burstyn, 
Jared Leto, 
Jennifer Connelly, 
Marlon Wayans
    "
"87","Captain America: The Winter Soldier","(2014)","
Action, Adventure, Sci-Fi            ","UA","7.8","825,645","$259.77M","
As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Chris Evans, 
Samuel L. Jackson, 
Scarlett Johansson, 
Robert Redford
    "
"88","Whiplash","(2014)","
Drama, Music            ","A","8.5","822,384","$13.09M","
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","
    Director:
Damien Chazelle
                 | 
    Stars:
Miles Teller, 
J.K. Simmons, 
Melissa Benoist, 
Paul Reiser
    "
"89","Toy Story 3","(2010)","
Animation, Adventure, Comedy            ","U","8.3","821,123","$415.00M","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","
    Director:
Lee Unkrich
                 | 
    Stars:
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Ned Beatty
    "
"90","Scarface","(1983)","
Crime, Drama            ","A","8.3","818,823","$45.60M","
In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","
    Director:
Brian De Palma
                 | 
    Stars:
Al Pacino, 
Michelle Pfeiffer, 
Steven Bauer, 
Mary Elizabeth Mastrantonio
    "
"91","Gravity","(2013)","
Action, Drama, Sci-Fi            ","UA","7.7","815,726","$274.09M","
Two astronauts work together to survive after an accident leaves them stranded in space.","
    Director:
Alfonso Cuarón
                 | 
    Stars:
Sandra Bullock, 
George Clooney, 
Ed Harris, 
Orto Ignatiussen
    "
"92","A Clockwork Orange","(1971)","
Crime, Sci-Fi            ","A","8.3","815,453","$6.21M","
In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","
    Director:
Stanley Kubrick
                 | 
    Stars:
Malcolm McDowell, 
Patrick Magee, 
Michael Bates, 
Warren Clarke
    "
"93","The Pianist","(2002)","
Biography, Drama, Music            ","13","8.5","812,283","$32.57M","
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","
    Director:
Roman Polanski
                 | 
    Stars:
Adrien Brody, 
Thomas Kretschmann, 
Frank Finlay, 
Emilia Fox
    "
"94","300","(2006)","
Action, Drama            ","A","7.6","808,539","$210.61M","
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.","
    Director:
Zack Snyder
                 | 
    Stars:
Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West
    "
"95","The Hobbit: An Unexpected Journey","(2012)","
Adventure, Fantasy            ","UA","7.8","808,354","$303.00M","
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","
    Director:
Peter Jackson
                 | 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
    "
"96","Taxi Driver","(1976)","
Crime, Drama            ","A","8.2","807,248","$28.26M","
A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","
    Director:
Martin Scorsese
                 | 
    Stars:
Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks
    "
"97","Spider-Man","(2002)","
Action, Adventure, Sci-Fi            ","U","7.4","801,790","$403.71M","
When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","
    Director:
Sam Raimi
                 | 
    Stars:
Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco
    "
"98","Iron Man 2","(2010)","
Action, Adventure, Sci-Fi            ","UA","6.9","800,725","$312.43M","
With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","
    Director:
Jon Favreau
                 | 
    Stars:
Robert Downey Jr., 
Mickey Rourke, 
Gwyneth Paltrow, 
Don Cheadle
    "
"99","The Big Lebowski","(1998)","
Comedy, Crime            ","UA","8.1","795,956","$17.50M","
Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","
    Directors:
Joel Coen, 
Ethan Coen
                 | 
    Stars:
Jeff Bridges, 
John Goodman, 
Julianne Moore, 
Steve Buscemi
    "
"100","Star Wars: Episode I - The Phantom Menace","(1999)","
Action, Adventure, Fantasy            ","UA","6.5","791,698","$474.54M","
Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.","
    Director:
George Lucas
                 | 
    Stars:
Ewan McGregor, 
Liam Neeson, 
Natalie Portman, 
Jake Lloyd
    "
